no,tender_no,Decision Reference,description,vendor,award_date,value,department,group
91,SCMB/14/10/14,SCMB/14/10/14,Environmental specialist for the Gordons Bay pumping station number 4 project - R031200373,Jeffares and Green (Pty) Ltd,2014/10/06,194057.5,Utility Services - Water Services,Utility Services
162,001Q/2012/13,SCMB 73/11/14,Period Tender for the Maintenance of Pressure Reducing Valves and Chambers,Ikapa Reticulation and Flow CC and Nejeni Construction/Nzima Civils JV,2014/11/24,600000,Utility Services - Water Services,Utility Services
78,269S/2013/14,SCMB/86/09/14,"Provision of Garden Services for the Faure Water Scheme, Helderberg Water Scheme and Firlands Pump Station",DB Erasmus t/a Pegasus Consulting Services,2014/09/29,771360,Utility Services - Water Services,Utility Services
167,002G/2014/15,SCMB 09/12/14,"SUPPLY, DELIVERY AND INSTALLATION OF CCTV EQUIPMENT FOR THE CITY OF CAPE TOWN VEHICLES FOR THE DEPARTMENT OF WATER AND SANITATION",Octopus Electronics (Pty) Ltd,2014/12/01,809343,Utility Services - Water Services,Utility Services
55,323Q/2012/13,SCMB/45/09/14,Design-Build of Mechanical and Electrical Works for the New DuNoon Sewer Pump Station No. 2,Inenzo Water (Pty) Ltd,2014/09/15,810016,Utility Services - Water Services,Utility Services
114,141C/2011/12,SCMB 61/10/14,Provision of Professional Services: sludge dewatering and sludge handling facilites at various wastewater treatment plants and mobile sludge dewatering unit,Bergstan South Africa Consulting and Development Engineers (Pty) Ltd,2014/10/27,816629.03,Utility Services - Water Services,Utility Services
103,323S/2013/14,SCMB 41/10/14,"The Inspection, Maintenance and Minor Repairs of Submarine Pipelines of Marine Outfalls",Guerrini Marine Construction CC,2014/10/20,1039521.28,Utility Services - Water Services,Utility Services
46,SCMB 25/09/14,99Q/2012/13,Request For Deviation And/Or  Condonation:Repair Of Plumbing And Installation Of Water Management Devices (Wmd`S) At Domestic Properties Occupied By Indigent Households,Quetzal Trading 116C ,2014/09/08,1315329.44,Utility Services - Water Services,Utility Services
144,247C/2012/13,SCMB 38/11/14,Geographic Information Systems (GIS) of Water and Sewer Infrastructure and Scanning of As-Built Drawings,Metrofile (Pty) Ltd & Giscoe & Esri South Africa ,2014/11/10,1333334,Utility Services - Water Services,Utility Services
157,051S/2014/15,SCMB 67/11/14,De-Silting of the Sandtrap at Bridgetown Sewer Pump Station,Jetvac South Africa (Pty) Ltd,2014/11/24,1352950.8,Utility Services - Water Services,Utility Services
151,325Q/2013/14,SCMB 51/11/14,"Design-Build of Mechanical and Electrical Works for the Supply and Installation of one 315KVA/400V Prime Power Alternator with Diesel Prime Mover, Together with New Main Distribution Board at Steenbras Water Treatment Plant",EOH Intelligent Infrastructure (Pty) Ltd,2014/11/17,1752692,Utility Services - Water Services,Utility Services
148,276G/2013/14,SCMB 47/11/14,"Supply, Delivery and Offloading of one ton and 70 kilogram pressure vessels, of liquid chlorine for use in potable water, wastewater treatment and any other council depots, including on-site training and safety audits at the facilities",Metsi Chem Ikapa (Pty) Ltd,2014/11/17,2573400,Utility Services - Water Services,Utility Services
73,314C/2013/14,SCMB/80/09/14,Provision of Professional Services for Proposed Upgrades at Scottsdene Wastewater Treatment Works,Western and Eastern Consulting (Pty) Ltd,2014/09/29,2576200,Utility Services - Water Services,Utility Services
195,348Q/2011/12,SCMB 42/12/14,Periodic Tender for Plumbing and Related Maintenance and Repairs of Communal Toilets in Informal Settlements Within the City of Cape Town,Quetzal Trading 116 CC,2014/12/08,3258747,Utility Services - Water Services,Utility Services
125,026Q/2014/15,SCMB 09/11/14,"Rehabilitation of Kleinplaats Dam Wall off Red Hill Road, Simons Town",Nammic Engineering CC,2014/11/03,3365252.4,Utility Services - Water Services,Utility Services
202,SCMB 48/12/14,SCMB 48/12/14,Reinstatement of the fire destroyed odour control installation at the Potsdam Wastewater Treatment Works,Odour Control Solutions CC,2014/12/08,3448640,Utility Services - Water Services,Utility Services
37,232G/2013/14,SCMB/07/09/14,"Supply, Delivery and offloading of filter Media sand for Blackheath, Faure, Helderberg, Voelvlei and Wemmershoek potable water treatment plants",Metsi Chem Ikapa (Pty) Ltd,2014/09/01,4170000,Utility Services - Water Services,Utility Services
113,141C/2011/12,SCMB 61/10/14,Provision of Professional Services: sludge dewatering and sludge handling facilites at various wastewater treatment plants and mobile sludge dewatering unit,Bergstan South Africa Consulting and Development Engineers (Pty) Ltd,2014/10/27,4338035.94,Utility Services - Water Services,Utility Services
2,268G/2013/14,SCMB 11/08/14,Supply and Delivery of Polyelectrolyte used in Drinking Water Treatment for Flocculation and Water Treatment Residue Centrifugation,Blendtech (Pty) Ltd,2014/08/04,6300000,Utility Services - Water Services,Utility Services
18,303Q/2013/14,SCMB 44/08/14,Design- Build of Mechanical and Electrical Works for  a Pump Station for Treated Effluent from Bellville Wastewater Treatment Works,VIKING PONY PUMPS (PTY) LTD T/A TRICOM,2014/08/18,6921857,Utility Services - Water Services,Utility Services
154,SCMB 57/11/14,SCMB 57/11/14,Delivery and placement of precast concrete toilet structures in informal settlements citywide,Sakh'ikhaya Suppliers CC,2014/11/17,7000000,Utility Services - Water Services,Utility Services
131,446Q/2010/11,SCMB 16/11/14,Period Tender for Repairing Existing and Laying of New Sewer Mains,"Nejeni Construction and Project Management CC and MA Nzima Civil Construction CC JV, Amandla GCF Construction CC, CAC Arendse t/a CA Holdings, Triple C Maintenance and Services CC, ATN Roadmarkings CC",2014/11/03,8000000,Utility Services - Water Services,Utility Services
132,447Q/2010/11,SCMB 17/11/14,"Period Tender for the Repair of Existing and Laying of New Watermains, Fire Hydrants and Valves ","JVR Constructio CC
Nejeni Construction and Project Management CC and M A Nzima Civil Construction CC (JV)
Insitu Pipelines (Pty) Ltd t/a Insitu Pipeliness
Triple C Maintenance and Services CC
Zimele Plant Hire CC",2014/11/03,8000000,Utility Services - Water Services,Utility Services
222,452G/2010/11,SCMB 69/12/14,"Supply and Delivery, in packaging of one ton and 70 kilogram pressure vessels, of liquid chlorine for use in potable water, wastewater treatment and any other council depots, with mandatory on-site user training and safety audits",Metsi Chem Ikapa (Pty) Ltd,2014/12/08,8100000,Utility Services - Water Services,Utility Services
17,302Q/2013/14,SCMB 43/08/14,Construction of a Pump Station and Associated Civil Works for Treated Effluent from Bellville Wastewater Treatment Works,CSV CONSTRUCTION (PTY) LTD,2014/08/18,10794936.9,Utility Services - Water Services,Utility Services
70,SCMB/71/09/14,SCMB/71/09/14,Procurement of water meters with electronic flow controllers and related accessories,Sakh'ikhaya Suppliers,2014/09/22,12285000,Utility Services - Water Services,Utility Services
197,325S/2010/11,SCMB 44/12/14, Servicing of Container Toilets in Informal Settlements within the City of Cape Town   ,Sannicare CC,2014/12/08,16290000,Utility Services - Water Services,Utility Services
20,266S/2013/14,SCMB 46/08/14,Removal and Disposal of Water Treatment Residue form the Faure Water Treatment Plant,Wasteman Holdings (Pty) Ltd,2014/08/18,19600000,Utility Services - Water Services,Utility Services
126,333Q/2013/14,SCMB 10/11/14,Term Tender for the Replacement of Water Meters with Nominal Bore Between 50-150mm and Installation of New Connections,"Quetzal Trading 116C,Kuntwela Ezantsi Ventures CC t/a KEV Accurate Measuring, Solar Distributors Africa (Pty) Ltd for Region: Central, Sakh'ikhaya Suppliers CC for Region:",2014/11/03,24359730,Utility Services - Water Services,Utility Services
16,288G/2013/14,SCMB 42/08/14,Supply and Delivery of Liquid Sodium Aluminate for use in drinking water,Kemanzi (Pty) Ltd,2014/08/18,25000000,Utility Services - Water Services,Utility Services
216,273G/2013/14,SCMB 65/12/14,Supply and Delivery of Polyelectrolyte for conditioning of wastewater sludges,Thuthukani SNF Chemical (Pty) Ltd,2014/12/08,26091608,Utility Services - Water Services,Utility Services
217,489G/2010/11,SCMB 66/12/14,Supply and Delivery of Polyelectrolyet for conditioning of wastewater sludges,Blendtech (Pty) Ltd,2014/12/08,26091608,Utility Services - Water Services,Utility Services
190,313Q/2011/12,SCMB 37/12/14,Period tender for the Installation of Treated Effluent Distribution Infrastructure,JJ Deyers Environmental Services and Contractors CC Nejeni/ Nzima Joint Venture,2014/12/08,31675259.79,Utility Services - Water Services,Utility Services
169,316S/2013/14,SCMB 11/12/14,Provision of  a Water Meter Reading Service for the City of Cape Town (Water and Sanitation),Ikapa Reticulation and Flow CC and Fikelela Labour Services CC,2014/12/01,31921670,Utility Services - Water Services,Utility Services
159,334Q/2013/14,SCMB 70/11/14,Term Tender for the Replacement of Water Meters with Nominal Bore Between 15-40mm and Installation of New Connections,"Kuntwela Enzansi Ventures CC t/a KEV Accurate Measuring for item 1.4.1 of Region: South and Quetzal Trading 116 CC for item 1.4.1 of Region: Central, Solar Distributors Africa (Pty) Ltd for Region East, Sakh'ikhaya Suppliers CC for Region Noirth, Quetzal 116 CC for Region Central and Kuntwela Enzansi Ventures CC T/a KEV Accurate Measuring for Region South",2014/11/24,36304548,Utility Services - Water Services,Utility Services
112,298Q/2013/14,SCMB 61/10/14,Civil and Structural Works for the Extended Sludge Dewatering Facilities at Mitchells Plain and Borcherds Quarry Wastewater Treatment Works,CSV Construction (Pty) LTD,2014/10/27,47191486.6,Utility Services - Water Services,Utility Services
200,425S/2010/11,SCMB 46/12/14,Servicing and Maintenance of Portable Flush Toilets in Informal Settlements within the City of Cape Town,Sannicare CC,2014/12/08,52193000,Utility Services - Water Services,Utility Services
75,222Q/2013/14,SCMB/82/09/14,Design-Build Mechanical and Electrical Works for the Refurbishment of Sludge Dewatering Equipment at Mitchells Plain and Borcherds Quarry Wastewater Treatment Works,Inenzo Water (Pty) Ltd,2014/09/29,136255582.54,Utility Services - Water Services,Utility Services
7,SCMB 16/07/14,SCMB 16/07/14,REQUEST FOR DEVIATION AND/OR CONDONATION: REPAIR AND MAINTENANCE OF STOCK ABB UNIGEAR ZACB 12 KV SWITCH PANELS,ABB South Africa (Pty) Ltd ,2014/07/07,672169.9,Utility: Electricity,Utility Services
16,127S/2013/14,SCMB 35/07/14,EMERGENCY CABLE JOINTING AND TERMINATION SERVICES FOR UP TO 11KV CABLES,BCB Cable Jointing CC ,2014/07/21,10000000,Utility: Electricity,Utility Services
25,239G/2013/14,SCMB 51/07/14,"MANUFACTURE, SUPPLY, DELIVERY AND OFFLOADING OF GALVANISED STEEL STREETLIGHT POLES AND BRACKETS",Industrial Poles and Masts( Pty) Ltd,2014/07/28,"
10000000.00",Utility: Electricity,Utility Services
35,91S/2012/13,SCMB 64/07/14,REQUEST FOR DEVIATION AND/OR CONDONATION : FIELD RECORDING AND GIS CAPTURE OF ELECTRICAL PLANT AND RETICULATION,Joint Venture of  Esri South Africa (Pty) Ltd and GISCOE (Pty) Ltd,2014/07/28,2000000,Utility: Electricity,Utility Services
28, 81S/2013/14,SCMB 56/07/14,"FIRST LINE RESPONSE : DISTRIBUTION AREA SOUTH DISTRICTS : MITCHELLS PLAIN, MUIZENBERG AND WYNBERG","MR Price t/a Lite-Line,  Willock 3 CC t/a CDE Suppliers and Elex Umbane (pty) Ltd t/a Elex Khanyisa",2014/07/28,30400000,Utility: Electricity,Utility Services
8,SCMB 17/07/14,SCMB 17/07/14,REQUEST FOR DEVIATION AND/OR CONDONATION: ZIBI CHARACTER AND MASCOT : ROYALTY FEES,Dov Fedler Cartoon Dynamics (Pty) Ltd,2014/07/07,28500,Utility: Solid Waste,Utility Services
14,228C/2013/14,SCMB 33/07/14,PROVISION OF PROFESSIONAL SERVICES TO CONDUCT EXTERNAL COMPLIANCE AUDITS OF SOLID WASTE MANAGEMENT FACILITIES,Chand Environmental Consultants CC,2014/07/21,921546.88,Utility: Solid Waste,Utility Services
4,84C/2010/11,SCMB 12/07/14,"REQUEST FOR INCREASE IN CONTRACT SUM AND/OR PERIOD: PROVISION OF PROFESSIONAL SERVICES FOR AN ENVIRONMENTAL IMPACT ASSESSMENT : PROPOSED CENTRALISED PROCESSING OF DEWATERED BIOSOLIDS, TERTIARY TREATMENT, BENEFICIATION, USAGE AND DISPOSAL",Environmental Planning and Resource Management Services CC (RMS) t/a Resources Management Services,2014/07/07,95000,Utility: Water & Sanitation,Utility Services
18,SCMB 37/07/14,SCMB 37/07/14,REQUEST FOR INCREASE IN CONTRACT SUM: PROFESSIONAL SERVICES : ENVIRONMENTAL SPECIALIST FOR THE GORDON`S BAY PUMPING STATION NUMBER 4 PROJECT,Jeffares & Green (Pty) Ltd ,2014/07/21,194057.5,Utility: Water & Sanitation,Utility Services
22,SCMB 42/07/14,SCMB 42/07/14,REQUEST FOR DEVIATION AND/OR CONDONATION: VACCINATION OF WATER AND SANITATION OCCUPATIONAL WORK GROUPS AGAINST TETANUS AND/OR HEPATITUS B,Incon Health CC,2014/07/21,1636695,Utility: Water & Sanitation,Utility Services
98,SCMB 29/10/14,SCMB 29/10/14,Request for Deviation: Appointment of specialist consultant to develop commercial and City of Cape Town Fleet Freight Model,Business Enterprises at the University of Pretoria (Pty) Ltd,2014/10/13,690982.52,,Unknown
