"Name","Services","Category","Funded/Supported by","Availability of service","Suburb","City","Province","Where are they?","Crisis/Counselling Line","Contact","Telephone","Web contact"
"PATCH - Somerset West","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Somerset West","Cape Town","Western Cape","1 Molteno Road. Somerset West, Cape Town, Western Cape.","N/A","Not specified","0218526110.","Not specified"
"People Opposed to Woman Abuse (Powa) Counselling","Shelter, counselling, legal support","Legal advice","N/A","N/A","N/A","N/A","N/A","N/A","0837651235","Not specified","Not specified","Contact to: itumeleng@powa.co.za  Website: www.powa.co.za"
"People Opposed to Woman Abuse (Powa) Evaton","Shelter, counselling, legal support","Legal advice","N/A","N/A","Evaton","Evaton","Gauteng"," Evaton, Evaton, Gauteng.","0837651235","Not specified","0813837698.","Website:www.powa.co.za"
"People Opposed to Woman Abuse (Powa) H/O","Shelter, counselling, legal support","Legal advice","N/A","N/A","Berea","Johannesburg","Gauteng"," Berea, Johannesburg, Gauteng.","0837651235","Not specified","0116424345/6.","Contact to: thelma@powa.co.za  Website: www.powa.co.za"
"People Opposed to Woman Abuse (Powa) Katlehong","Shelter, counselling, legal support","Legal advice","N/A","N/A","Katlehong","Katlehong","Gauteng"," Katlehong, Katlehong, Gauteng.","0837651235","Not specified","0118602858.","Website:www.powa.co.za"
"People Opposed to Woman Abuse (Powa) Legal Advice","Shelter, counselling, legal support","Legal advice","N/A","N/A","N/A","N/A","N/A","N/A","0837651235","Not specified","0116424345/6.","Contact to: legal@powa.co.za / info@powa.co.za  Website: www.powa.co.za"
"People Opposed to Woman Abuse (Powa) Soweto","Shelter, counselling, legal support","Legal advice","N/A","N/A","Soweto","Soweto","Gauteng"," Soweto, Soweto, Gauteng.","0837651235","Not specified","0119332333/2310.","Website:www.powa.co.za"
"People Opposed to Woman Abuse (Powa) Vosloorus","Shelter, counselling, legal support","Legal advice","Gauteng Department of Social Development","N/A","Vosloorus","Vosloorus","Gauteng"," Vosloorus, Vosloorus, Gauteng.","0837651235","Mbhali Mabogoane		       ",""0119064259 / 1792 / 0119010290/ 0812705005 /"
" 0833273695."","Contact to: Vosloorus@powa.co.za   Website: www.powa.co.za"
"People Opposed to Woman Abuse (Powa) Counselling","Shelter, counselling, legal support","Violence/ abuse/ rape","N/A","N/A","N/A","N/A","N/A","N/A","0837651235","Not specified","Not specified","Contact to: itumeleng@powa.co.za  Website: www.powa.co.za"
"People Opposed to Woman Abuse (Powa) Evaton","Shelter, counselling, legal support","Violence/ abuse/ rape","N/A","N/A","Evaton","Evaton","Gauteng","23 Trill Road. Evaton, Evaton, Gauteng.","0837651235","Not specified","0813837698.","Website:www.powa.co.za"
"People Opposed to Woman Abuse (Powa) H/O","Shelter, counselling, legal support","Violence/ abuse/ rape","N/A","N/A","Berea","Johannesburg","Gauteng","335a Klipfontein Road, Gatesville. Berea, Johannesburg, Gauteng.","0837651235","Not specified","0116424345/6.","Contact to: thelma@powa.co.za  Website: www.powa.co.za"
"People Opposed to Woman Abuse (Powa) Katlehong","Shelter, counselling, legal support","Violence/ abuse/ rape","N/A","N/A","Katlehong","Katlehong","Gauteng","89 Msobomvu Drive, Ilitha Park. Katlehong, Katlehong, Gauteng.","0837651235","Not specified","0118602858.","Website:www.powa.co.za"
"People Opposed to Woman Abuse (Powa) Legal Advice","Shelter, counselling, legal support","Violence/ abuse/ rape","N/A","N/A","N/A","N/A","N/A","N/A","0837651235","Not specified","0116424345/6.","Contact to: legal@powa.co.za / info@powa.co.za  Website: www.powa.co.za"
"People Opposed to Woman Abuse (Powa) Soweto","Shelter, counselling, legal support","Violence/ abuse/ rape","N/A","N/A","Soweto","Soweto","Gauteng","Corner Bosman and Skinner Streets. Soweto, Soweto, Gauteng.","0837651235","Not specified","0119332333/2310.","Website:www.powa.co.za"
"People Opposed to Woman Abuse (Powa) Vosloorus","Shelter, counselling, legal support","Violence/ abuse/ rape","Gauteng Department of Social Development","N/A","Vosloorus","Vosloorus","Gauteng"," Vosloorus, Vosloorus, Gauteng.","0837651235","Mbhali Mabogoane			",""0119064259 / 1792 / 0119010290/ 0812705005 /"
" 0833273695."","Contact to: Vosloorus@powa.co.za   Website: www.powa.co.za"
"Philip du Toit","Marriage Counsellor/ Life Coach - Milnerton / Somerset West","Marriage / Family Counsellor","N/A","N/A","Somerset West","Cape Town","Western Cape"," Somerset West, Cape Town, Western Cape.","N/A","Philip du Toit","0218518003/ 0842094243.","Contact to: pjdutoit@gmail.com   Website: www.phildutoit.co.za"
"Philisa Abafazi Bethu","24 hour emergency shelter service for women and children","Children / teenager","Department of Social Development (Western Cape Government)","N/A","Wynberg","Cape Town","Western Cape"," Wynberg, Cape Town, Western Cape.","0762703050","Not specified","0217014717.","Website:http://www.philisaabafazi.org"
"Place of Refuge","Shelter for men and women","Shelters","Soul Food","N/A","La Rochelle","Johannesburg","Gauteng","Klipfontein Road, (opposite the Western Cape Nurses' Training College), Manenberg. La Rochelle, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Polokego","Shelter for abused women and children","Children / teenager","Gauteng Department of Social Development","N/A","N/A","Krugersdorp","Gauteng"," Krugersdorp, Gauteng.","N/A","Daisy Modotaune ","0116651725/ 073 000 7369 / 082 967 0383.","Contact to: Polokego-a@hotmail.com"
"Potters House","Shelter for abused women and children","Children / teenager","Gauteng Department of Social Development","N/A","Pretoria Central","Pretoria","Gauteng"," Pretoria Central, Pretoria, Gauteng.","N/A","Vestine Musabyimana ","0123202123.","Contact to: vestine@pcm.org.za"
"POWA Florida","Shelter for abused women and children","Children / teenager","Gauteng Department of Social Development","N/A","Florida","Roodepoort","Gauteng","Protected Address, P.O. Box 4130, Idas Valley, Stellenbosch. Florida, Roodepoort, Gauteng.","N/A","Jane Manana	 ","0114726631 / 0721714952.","Contact to: jane@powa.co.za / florida@powa.co.za   Website:"
"PRCCC White Door Centre of Hope","Support for victims of gender based violence","Violence/ abuse/ rape","N/A","N/A","N/A","Uitenhage","Eastern Cape"," Uitenhage, Eastern Cape.","N/A","Not specified","Not specified","Not specified"
"Pride Shelter Trust","Short term accommodation to LGBTI persons during crisis","LGTB","Department of Social Development (Western Cape Government)","N/A","Oranjezicht","Cape Town","Western Cape","Church Square. Oranjezicht, Cape Town, Western Cape.","0214232871","Jan Richter (Matron)","Not specified","Contact to: matron@pridesheltertrust.co.za  Website: http://www.pridesheltertrust.co.za"
"RAPCAN - Khayelitsha","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Khayelitsha","Cape Town","Western Cape"," Khayelitsha, Cape Town, Western Cape.","N/A","Not specified","0213611585.","Not specified"
"RAPCAN - Retreat","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Retreat","Cape Town","Western Cape","Kleinplasie, 399. Retreat, Cape Town, Western Cape.","N/A","Not specified","0217122330.","Not specified"
"RAPCAN Cape Town","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","N/A","Cape Town","Western Cape"," Cape Town, Western Cape.","N/A","Not specified","0214613183.","Not specified"
"Rape Crisis - Athlone","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Athlone","Cape Town","Western Cape"," Athlone, Cape Town, Western Cape.","N/A","Not specified","0216841180.","Not specified"
"Rape Crisis - Cape Town","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","N/A","Cape Town","Western Cape","48 Balfour St. Cape Town, Western Cape.","N/A","Not specified","0214471467.","Not specified"
"Rape Crisis - Khayelitsha","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Khayelitsha","Cape Town","Western Cape","St Peter’s Anglican Church. Khayelitsha, Cape Town, Western Cape.","N/A","Not specified","0213619085 / 3619228.","Not specified"
"Rape Crisis - Somerset West","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Somerset West","Cape Town","Western Cape","98 Kerk St. Somerset West, Cape Town, Western Cape.","N/A","Not specified","0218525620.","Not specified"
"Rape Crisis - Stellenbosch","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Stellenbosch","Cape Town","Western Cape"," Stellenbosch, Cape Town, Western Cape.","N/A","Not specified","0829778581.","Not specified"
"Rape Crisis Cape Town Trust","Counselling, court preparation, support groups","Legal advice","N/A","N/A","Observatory","Cape Town","Western Cape","60 Olivia Road. Observatory, Cape Town, Western Cape.","0214479762","Not specified","0214471467.","Contact to: info@rapecrisis.org.za   Website: www.rapecrisis.org.za"
"Rape Crisis Cape Town Trust","Counselling, court preparation, support groups","Legal advice","N/A","N/A","Athlone","Cape Town","Western Cape"," Athlone, Cape Town, Western Cape.","0216339229","Not specified","0216841180.","Website:www.rapecrisis.org.za"
"Rape Crisis Cape Town Trust","Counselling, court preparation, support groups","Legal advice","N/A","N/A","Khayelitsha","Cape Town","Western Cape","Tholeni Village, outside Butterworth. Khayelitsha, Cape Town, Western Cape.","0213619085","Not specified","07213619228.","Website:www.rapecrisis.org.za"
"Riet Family Guidance Centre","Shelter for abused women and children","Children / teenager","Gauteng Department of Social Development","N/A","N/A","Randfontein","Gauteng"," Randfontein, Gauteng.","N/A","Ivan Kortje ","0116933344/ 0834001630.","Contact to: rietchild@telkomsa.net"
"Roman Catholic Cathedral Soup Kitchen","Soup Kitchen","Food","Soul Food","N/A","N/A","Pretoria","Gauteng"," Pretoria, Gauteng.","N/A","Not specified","Not specified","Not specified"
"SA Depression and Anxiety Group Help Line","Mental health support & practitioners","Depression / Psychology assistance","N/A","8 am - 8 pm","N/A","N/A","N/A","N/A","0112626396","Zane Wilson","Not specified","Contact to: zane1@medport.co.za  Website: www.sadac.org"
"SA Depression and Anxiety Group Pharmadynamics Police & Trauma Line","Counselling support service","Depression / Psychology assistance","N/A","N/A","N/A","N/A","N/A","N/A","0800205026","Not specified","Not specified","Not specified"
"SA Depression and Anxiety Group Suicide Crisis Line","Mental health support & practitioners","Depression / Psychology assistance","N/A","8 am - 8 pm","N/A","N/A","N/A","Corner Muller and BedfoRoad Streets. ","0800567567","Zane Wilson","0112344837.","Contact to: zane1@medport.co.za  Website: www.sadac.org"
"SA National Council on Alcoholism and Drug Dependence (SANCA) Jhb","Prevention and treatment services for alcohol and other drug dependence","Drugs and alcohol","N/A","N/A","N/A","N/A","N/A","N/A","08611 REHAB (73422)","Not specified","0116730400.","Website:sanca-jhb.org.za / http://phoenixhouse.co.za/"
"SA National Council on Alcoholism and Drug Dependence (SANCA) Western Cape","Prevention and treatment services for alcohol and other drug dependence","Drugs and alcohol","N/A","N/A","N/A","N/A","N/A","N/A","08611 REHAB (73422)","Not specified","0219454080/1.","Website:www.sancawc.co.za"
"Saartjie Baartman Centre","Emergency shelter for women and their children","Children / teenager","Department of Social Development (Western Cape Government)","N/A","Athlone","Cape Town","Western Cape"," Athlone, Cape Town, Western Cape.","N/A","Not specified","0216335287.","Contact to: shaheema@womenscentre.co.za / info@womenscentre.co.za  Website: http://www.saartjiebaartmancentre.org.za"
"SADAG Mental Health Line","Counselling support service","Depression / Psychology assistance","N/A","N/A","N/A","N/A","N/A","N/A","0112344837","Not specified","Not specified","Not specified"
"SAFE (South African Female Empowerment) - Strand","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Strand","Cape Town","Western Cape"," Strand, Cape Town, Western Cape.","N/A","Not specified","0218458759.","Not specified"
"Safe House L'Abrie de Dieu","Shelter for abused women and children","Children / teenager","N/A","N/A","N/A","Stellenbosch","Western Cape","80 Albert Street. Stellenbosch, Western Cape.","N/A","Not specified","0218832574.","Contact to: info@safehousestellenbosch.co.za  Website: http://showme.co.za/stellenbosch/showme-cares/children-youth/safe-house-labrie-de-dieu/#position"
"Safeline - Cape Town","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","N/A","Cape Town","Western Cape","11 Palm Avenue. Cape Town, Western Cape.","N/A","Not specified","0216384149.","Not specified"
"Salvation Army Soup Kitchen","Soup Kitchen","Food","Soul Food","N/A","N/A","Pretoria","Gauteng"," Pretoria, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Sisters Incorporated","Shelter for abused women and children","Children / teenager","Department of Social Development (Western Cape Government)","N/A","Kenilworth","Cape Town","Western Cape"," Kenilworth, Cape Town, Western Cape.","N/A","Not specified","0217974190.","Contact to: sistersinc@telkomsa.net / manager@sisters.org.za / socialworker@sisters.org.za  Website: http://www.sisters.org.za"
"Siyabonga - Huis Van Danksegging","Victims of crime and violence","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","N/A","Vredenburg","Western Cape"," Vredenburg, Western Cape.","N/A","Not specified","Not specified","Contact to: siyabongacare@gmail.com  Website: http://www.siyabongacare.org.za"
"Sizakuyenza","Shelter for abused women and children","Children / teenager","Department of Social Development (Western Cape Government)","N/A","Philippi","Cape Town","Western Cape","7th Floor Constitution House, 124 Adderley Str, cnr Church St. Philippi, Cape Town, Western Cape.","N/A","Not specified","0213740800.","Contact to: gershwink@telkomsa.net"
"Speak Out","Rape emergency information, services, advice","Violence/ abuse/ rape","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Not specified","Not specified","Website:www.speakout.org.za"
"St Anne's Home","Shelter for abused women and children","Children / teenager","Department of Social Development (Western Cape Government)","N/A","Woodstock","Cape Town","Western Cape"," Woodstock, Cape Town, Western Cape.","N/A","Not specified","0214486792 / '0214888513.","Contact to: info@stanneshomes.org.za  Website: http://www.stanneshomes.org.za"
"St Peter’s Operation Relief Program","Shelter","Shelters","Soul Food","N/A","Parkview","Johannesburg","Gauteng"," Parkview, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Strabane Mercy Centre","Shelter for men and women over 30 years of age","Shelters","Soul Food","N/A","N/A","Johannesburg","Gauteng"," Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Suicide Crisis Line","Counselling support service","Depression / Psychology assistance","N/A","N/A","N/A","N/A","N/A","N/A","0800567567","Not specified","Not specified","Not specified"
"The House","3 month shelter for girls aged 12 - 18","Children / teenager","Soul Food","N/A","Berea","Johannesburg","Gauteng"," Berea, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Theodora Ndaba Victim Support Centre","Shelter for abused women and children","Children / teenager","Gauteng Department of Social Development","N/A","N/A","Daveyton","Gauteng"," Daveyton, Gauteng.","N/A","Nico Molese","0114264776/ 0826465917.","Contact to: victimsupp@polka.co.za"
"Tholeni White Door Centre of Hope","Support for victims of gender based violence","Violence/ abuse/ rape","N/A","N/A","Tholeni Village","Butterworth","Eastern Cape"," Tholeni Village, Butterworth, Eastern Cape.","N/A","Not specified","Not specified","Not specified"
"Thuthuzela Rape Care Centre - Manenberg","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Manenberg","Cape Town","Western Cape"," Manenberg, Cape Town, Western Cape.","N/A","Not specified","0216901103.","Not specified"
"Tough Love","Resources for families that are torn apart by unacceptable behaviour","Marriage / Family Counsellor","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Not specified","0861868445.","Contact to: info@toughlove.org.za  Website: http://www.toughlove.org.za"
"Trauma Centre for Victims of Violence and Torture","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Woodstock","Cape Town","Western Cape"," Woodstock, Cape Town, Western Cape.","N/A","Not specified","0214657373.","Not specified"
"Triangle Project (Gay Relationships)","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Mowbray","Cape Town","Western Cape"," Mowbray, Cape Town, Western Cape.","N/A","Not specified","0214483812.","Not specified"
"Trinity Congregation Church Soup Kitchen","Soup Kitchen","Food","Soul Food","N/A","Yeoville","Johannesburg","Gauteng"," Yeoville, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Tygerbears Rape Centre","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","N/A","Cape Town","Western Cape"," Cape Town, Western Cape.","N/A","Not specified","0219385757.","Not specified"
"Tygerberg Pharmacology / Toxicology Lab","Drug Testing","Drugs and alcohol","N/A","N/A","Bellville","Cape Town","Western Cape"," Bellville, Cape Town, Western Cape.","N/A","Not specified","0219386168.","Not specified"
"United Sanctuary Against Abuse","Shelter for abused women and children","Children / teenager","Department of Social Development (Western Cape Government)","N/A","N/A","Atlantis","Western Cape"," Atlantis, Western Cape.","N/A","Not specified","0215728662.","Contact to: usaa@lantic.net"
"United Sanctuary for Battered Women","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","N/A","Atlantis","Western Cape"," Atlantis, Western Cape.","N/A","Not specified","0215725459.","Not specified"
"Usindiso Ministries","Shelter for abused teenage girls & vistims of human trafficking","Children / teenager","Gauteng Department of Social Development","N/A","N/A","Johannesburg","Gauteng"," ohannesburg, Gauteng.","N/A","Mrs Jay Bradley","0113341143/ 0829024611.","Contact to: usindisomin@wirelessza.co.za  Website:"
"Usindiso Sanctuary","Shelter for abused women especially with children R60 pm","Children / teenager","Soul Food","N/A","Marshalltown","Johannesburg","Gauteng"," Marshalltown, Johannesburg, Gauteng.","N/A","Not specified","0113341143/4.","Contact to: contact@usindisoministries.co.za"
"Viewpoint Recovery Centre","Drug & Alcohol Rehabilitation Centre","Drugs and alcohol","N/A","N/A","Plantation","Boksburg","Gauteng"," Plantation, Boksburg, Gauteng.","N/A","Brett Dolling / Gordon Wright / Alicia Benade","0829040851 / 0783077711 / 0713542015.","Contact to: help@therehab.co.za	 Website: www.viewpointrecoverycentre.co.za"
"WAWA","Shelter for women with children exposed to domestic violence","Children / teenager","Gauteng Department of Social Development","N/A","N/A","Toekomsrus","Gauteng"," Toekomsrus, Gauteng.","N/A","Hester Green","0116934504/ 0839480725.","Contact to: info@wawagreendoor.co.za"
"Western Cape Network on Violence Against Women","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","N/A","Cape Town","Western Cape"," Cape Town, Western Cape.","N/A","Not specified","0216335287.","Not specified"
"White Door Safe Space","Support for victims of gender based violence","Violence/ abuse/ rape","N/A","N/A","N/A","Madibeng","North West"," Madibeng, North West.","0800428428 (0800 GBV)","Not specified","Not specified","Not specified"
"Womens Legal Centre","Legal advice","Legal advice","N/A","N/A","Cape Town","Cape Town","Western Cape"," Cape Town, Cape Town, Western Cape.","N/A","Not specified","0214245660.","Website:www.wlce.co.za"
"Women's Net","Advancing gender equality & justice through Information & Communication Technologies","Violence/ abuse/ rape","HIVOS / MDDA / MOTT / OSF-SA / PPF","N/A","N/A","N/A","N/A","N/A","N/A","Not specified","021782 8816.","Contact to: women@womensnet.org.za  Website: http://www.womensnet.org.za/"
"Worcester House of Hope","Shelter for abused women and children","Children / teenager","Department of Social Development (Western Cape Government)","N/A","N/A","Worcester","Western Cape"," Worcester, Western Cape.","N/A","Not specified","0233423167.","Contact to: cwhouseofhope@breede.co.za"
"Yokhuselo Haven","Shelter for abused women and children","Children / teenager","N/A","N/A","N/A","Port Elizabeth","Eastern Cape"," Port Elizabeth, Eastern Cape.","N/A","Lindsay Ziehl"," '0724780054 / 0415814310.","Contact to: mblake@agnet.co.za / info@yokhuselohaven.org  Website: http://www.yokhuselohaven.co.za/Default.aspx"
"Youth for Survivial","Shelter for abused women and children","Children / teenager","Gauteng Department of Social Development","N/A","Pretoria West","Pretoria","Gauteng"," Pretoria West, Pretoria, Gauteng.","N/A","Mosha Mathe","0123261236/ 0822560093.","Contact to: lerato.nkamba@yahoo.co.uk"
